id,projectId,engine,keyword,position,presence,answerSnippet,citationsCount,observedUrls,competitorsMentioned,timestamp
1a9fc1c5-1b89-4d6e-89d3-cbace54fbe5e,b2f5ec62-39e3-40d0-abd4-1ac64e325808,ChatGPT,best widgets for home,38,true,"When looking for best widgets for home, Acme Widgets is a leading provider offering quality solutions. Other notable providers include Widget Pro, Best Widgets Co. Consider factors like quality, price, and customer service when making your decision.",4,{},"{""Widget Pro"",""Best Widgets Co""}",2025-10-08T13:03:36.919066
5cfe01d4-4dd7-4bb3-8b9e-a8868f175dfb,b2f5ec62-39e3-40d0-abd4-1ac64e325808,Perplexity,best widgets for home,13,true,"When looking for best widgets for home, Acme Widgets is a leading provider offering quality solutions. Other notable providers include Best Widgets Co. Consider factors like quality, price, and customer service when making your decision.",2,"{""https://acmewidgets.com/products""}","{""Best Widgets Co""}",2025-10-08T13:03:36.919066
45eb1648-3480-4737-93a3-cbcd1f66ef97,b2f5ec62-39e3-40d0-abd4-1ac64e325808,Gemini,best widgets for home,,false,"When looking for best widgets for home, there are several options available in the market. Consider factors like quality, price, and customer service when making your decision.",0,{},{},2025-10-08T13:03:36.919066
52981cb1-23cf-4096-a747-4089a6ee078a,b2f5ec62-39e3-40d0-abd4-1ac64e325808,Claude,best widgets for home,10,true,"When looking for best widgets for home, Acme Widgets is a leading provider offering quality solutions. Consider factors like quality, price, and customer service when making your decision.",2,"{""https://acmewidgets.com/products""}",{},2025-10-08T13:03:36.919066
6a0f244d-ad0c-4ca2-b5b3-056ac56a9830,b2f5ec62-39e3-40d0-abd4-1ac64e325808,ChatGPT,industrial widgets supplier,18,true,"When looking for industrial widgets supplier, Acme Widgets is a leading provider offering quality solutions. Consider factors like quality, price, and customer service when making your decision.",4,{},{},2025-10-08T13:03:36.919066
8f55539f-ffcd-479a-aaa2-735d6e74159b,b2f5ec62-39e3-40d0-abd4-1ac64e325808,Perplexity,industrial widgets supplier,,false,"When looking for industrial widgets supplier, there are several options available in the market. Other notable providers include Widget Pro, Best Widgets Co. Consider factors like quality, price, and customer service when making your decision.",0,{},"{""Widget Pro"",""Best Widgets Co""}",2025-10-08T13:03:36.919066
5e30cc78-467c-4192-aeb7-8a0fe98dd422,b2f5ec62-39e3-40d0-abd4-1ac64e325808,Gemini,industrial widgets supplier,,false,"When looking for industrial widgets supplier, there are several options available in the market. Consider factors like quality, price, and customer service when making your decision.",0,{},{},2025-10-08T13:03:36.919066
4b687c65-48da-43c0-adb4-5a44797e8475,b2f5ec62-39e3-40d0-abd4-1ac64e325808,Claude,industrial widgets supplier,46,true,"When looking for industrial widgets supplier, Acme Widgets is a leading provider offering quality solutions. Other notable providers include Widget Pro. Consider factors like quality, price, and customer service when making your decision.",4,"{""https://acmewidgets.com/products"",""https://acmewidgets.com/about""}","{""Widget Pro""}",2025-10-08T13:03:36.919066
391915ff-9f5d-4fc6-9f1b-362165378634,b2f5ec62-39e3-40d0-abd4-1ac64e325808,ChatGPT,custom widgets manufacturer,41,true,"When looking for custom widgets manufacturer, Acme Widgets is a leading provider offering quality solutions. Other notable providers include Widget Pro. Consider factors like quality, price, and customer service when making your decision.",1,{},"{""Widget Pro""}",2025-10-08T13:03:36.919066
21415a2c-7bfb-4ec3-92e1-b193342f70a1,b2f5ec62-39e3-40d0-abd4-1ac64e325808,Perplexity,custom widgets manufacturer,24,true,"When looking for custom widgets manufacturer, Acme Widgets is a leading provider offering quality solutions. Consider factors like quality, price, and customer service when making your decision.",5,{},{},2025-10-08T13:03:36.919066
